Pregunta|Intencion
cuanto sale tener advantagge|Cat_276
retirar fondos desde el exterior|Cat_298
querer bajo tarjeta debitar|Cat_41
cargue red bus cordoba el dia de ayer por primera vez y hasta el momento no tengo saldo|Cat_129
si necesito cuál sería la cuota|Cat_251
se puede hacer un rescate parcial en dolares de un fci?|Cat_175
preguntar validación obtener usuario clave salta error|Cat_1
quiero denunciar la pérdida de alimentos refrigerados por falta de luz|Cat_265
como cambiar el tope de pago de impuestos|Cat_93
deonde esta pagar minimo|Cat_351
para sacar el préstamo es necesario no estar en el veraz?|Cat_244
necesito cambiar de sucursal. de la actual en villa crespo a la sucursal botánico|Cat_65
necesito denunciar una compra que no hice con la amex|Cat_112
nesecito un numero de telefono para pedir mi tarjeta de debito que esta rota|Cat_316
adheri un servicio debito automatico necesito saber cuando se debita|Cat_106
cuanto pagar tarjeta|Cat_342
como puedo sacar un prstamo por aca|Cat_223
puntos superclub|Cat_325
hubo un fallo en la adhesión de las tarjetas a debito automatico y no se procesó.|Cat_346
cancelar comprar tarjeta robar|Cat_112
sin cuenta bancario como pagar tarjeta|Cat_342
llegar tarjeta domicilio seguimiento|Cat_293
otorgan préstamos hipotecarios para la construccion?|Cat_228
como se deshace una caida de cuotas|Cat_339
queria saber cuanto tengo para pagar de lo que compré con la visa.|Cat_342
como se hace para simular un préstamo personal|Cat_251
se lastimó una persona que estaba haciendo un arreglo en casa  tiene cobertura?|Cat_265
una persona que tiene aaños puede sacar un ccredito con aaños de plazo?|Cat_248
la actualización de cuota del préstamo se realiza con el indice de costo de construccion de mi ciudad?|Cat_219
donde puedo ver el formulario 6-234|Cat_32
que zona comprende y abarca la elección de la vivienda de préstamo hipotecario?|Cat_211
no quiero recibir más llamados del banco.|Cat_136
le robaron la tarjeta de ccredito a mi marido|Cat_294
quiero hacer unos cambios en mi cuenta principal|Cat_52
quiero saber el monto y vencimiento de la cuota del seguro|Cat_269
la tarjeta que me mandaron tiene mal escrito el apellido|Cat_315
quisiera saber si puedo sacar un prestamo personal|Cat_248
aviso suscribirme|Cat_125
quiero pagar los consumos en dolares de la tc con el saldo a favor en pesos que tengo en la visa.|Cat_347
quiero saber cual es el monto descubierto de mi cuenta|Cat_56
quiero poner unas ordenes de compra de bonos|Cat_157
como hago una tranferencia|Cat_84
hacer stop debit tomar duplicar pagar|Cat_350
necesitaba ayuda porque tengo que depositar un cheque en dolares|Cat_30
¿puedo pagar por adelantado cuotas del préstamo hipotecario?|Cat_246
informacion sobre asistencia en viaje|Cat_282
poder pagar menos total saldo pagar tarjeta|Cat_342
dudar cargo tarjeta american|Cat_115
inahibilitaron tarjeta debitar|Cat_286
cuando me llega la clave banelco|Cat_288
nunca hay stock del producto que quiero cuando lo actualizan?|Cat_332
como obtengo mi clave banelco para extración|Cat_288
no pude usar el voucher en freddo porque me dice que no es valido|Cat_333
necesito un prestamo de $ soy monotributista.|Cat_223
quiero poner en debito la patente del auto|Cat_132
hace mas de hs que cargue la solicitud del prestamo me puedo contactar con alguien?|Cat_215
saber limite comprar|Cat_303
porque me descuentan cada vez que deposito en mi cuenta|Cat_122
en cuantas cuotas puedo financiar el resumen|Cat_308
cuando vence la mastercard|Cat_341
no puedo pagar minimo|Cat_351
no se me efecto el descuento de la promocion|Cat_312
quise retirar de cajero y me dijo transaccion incompleta y ahora en mi cuenta veo que se debito.|Cat_297
yo page el minimo de la tarjeta de ccredito y no la puedo volvet a usar?|Cat_314
cómo hago para renovar la tarjeta de débito|Cat_316
quienes son los ganadores|Cat_144
cuanto limite tengo para compra con mi tarjeta de credito?|Cat_303
necesito cambiar el número de telefono que tengo registrado en el banco|Cat_103
la renovación de la tarjeta todavía no llego|Cat_293
necesito ver las fechas de vencimiento de mis plazos fijos|Cat_180
puedo sacar dolares de un cajero automatico|Cat_298
necesitar ayudar adhesion servicio debitar|Cat_132
una simulacion|Cat_251
no me anda el toquen de seguridad|Cat_5
que debo presentar como monotributista para que me den un ccredito?|Cat_247
queria consultar el límite en cuotas|Cat_303
saber ubicacion tarjeta visa|Cat_293
no llegan las facturas papel de la tarjeta a tiempo|Cat_138
consumo tarjeta visa|Cat_112
sacar un prestamo personal|Cat_223
necesito dar de baja a cablevision de la tarjeta visa|Cat_292
quiero contratar un seguro de auto|Cat_261
quiero optener tarjeta debitar visa|Cat_39
tratar nombre usuario clave pagina pedir clave seguridad|Cat_1
me sabes ayudar?|Cat_22
por favor paseme la pagina para cambiar contraseña|Cat_1
correo electrónico erroneo|Cat_104
quisiera solicitar tarjeta de credito por telefono?|Cat_337
no tengo contraseña|Cat_1
no se ha acreditado el pago de mi tarjeta de credito|Cat_279
se me rompió el lavarropas  que tengo que hacer para que me cubra el seguro?|Cat_265
cuanto me sale mantenimiento mi cuenta|Cat_96
me gustaría saber si estoy en condiciones de sacar un ccredito. en caso de ser así me gustaría que me brindaran información sobre el mismo.|Cat_248
me cobraron una comisión que me dijeron estaba bonificada|Cat_90
problema comprar exterior|Cat_289
no veo el debito del gas y electricidad|Cat_129
por que siempre me mandan el resumen después del vencimiento del mismo?|Cat_138
que días se vencen las cuotas del prestamo hipotecario?|Cat_239
quiero saber. cuanto es lo que debo?|Cat_99
estar disposicion nuevas tarjeta credito|Cat_293
quisiera obtener un préstamo! yo trabajo hace aaños pero estoy en negro ! cómo puedo hacer?|Cat_233
me explicás en que consisten las condiciones de habitabilidad?|Cat_203
la acreditación de los puntos es automática o tengo que avisar en algún lado?|Cat_323
me pasan el 0800 por favor|Cat_147
las transferencias al exterior son inmediatas  o tiene un tiempo para impactar?|Cat_36
ayer cerro mi tarjeta visa y necesito poder pagar|Cat_342
activar token desde el extranjero|Cat_5
cómo hago para transferir bonos a otra persona dentro de santander|Cat_150
necesito una cuenta con tarjeta de credito|Cat_39
aparecen las cotizaciones de los bonos en el resumen?|Cat_188
estaba tratando de pagar el open credit pero el mínimo solamente|Cat_199
no puedo usar la tarjeta 365 y estoy pagando el servicio|Cat_280
estoy queriéndome comunicar por telefono y me es imposible  no responde nadie.|Cat_127
costo de extraccion en el exterior|Cat_96
pedido de reimpresión de tarjeta de debito|Cat_316
beneficios de tarjeta de ccredito|Cat_311
como es el sorteo de la cuenta sueldo?|Cat_143
un gasto en dolares en la tarjeta cuanto se debita en pesos|Cat_307
como hago para sacar una targeta sin trabajar en blanco?|Cat_337
obtener tarjeta mastercard|Cat_337
que significa que una transferencia está programada|Cat_81
querer saber numerar consultar monto tarjeta|Cat_303
quiero saber por que todavía no me liquidaron unas operaciones de acciones|Cat_153
en donde se modifican las fechas de vencimiento de los resúmenes de la visa y la amex?|Cat_348
cual es mi banco intermediario|Cat_32
quiero que me asesoren para cerrar una cuenta|Cat_41
los datos de la píìliza son incorrectos. no coinciden con los que yo les aportara|Cat_267
cancelo|Cat_192
como pido una bonificacion de cuenta|Cat_73
frente al otorgamiento de un porcentaje del préstamo hipotecario  como financio el resto?|Cat_245
aplicar descuento|Cat_312
llegar telefono cambiar clave ingresar online banking|Cat_1
requisitos a cumplir para un personal|Cat_248
tengo algún préstamo personal disponible?|Cat_223
estoy necesitando realizar una consulta y no logro comunicarme con ninguno de los telefonos del banco.|Cat_29
queria ver si me podrían enviar una chequera|Cat_44
quiero ver el detalle de mis tarjetas|Cat_138
sí pido un peso cuantosestaría abonando por mes?|Cat_251
necesito un libre deuda|Cat_64
no recibo el mail con el resumen de la tarjeta visa y con citi lo recibia|Cat_138
como puedo hacer para participar de los sorteos|Cat_143
como hago para recibir dinero desde el exterior|Cat_32
cuanto tengo pagar tarjeta|Cat_342
en que página puedo entrar para ver mi cuenta|Cat_3
querer cerrar home banking|Cat_0
donde consulto el código swift?|Cat_34
cuando me depositan lo de mi seguro por despido|Cat_270
cuanto está cotizando las lebacs?|Cat_155
me podes informar que tengo que pagar este mes|Cat_93
me cobraron el seguro  el cual ya ha sido dado de baja|Cat_263
en donde puedo editar el día de cierre de la tarjeta de ccredito?|Cat_348
como pago afip|Cat_132
me llegaron dos tarjetas santander  ccredito a mi nombre|Cat_309
me gustaría sacar un prestamo..|Cat_223
como puedo sabee si estoy apto o asta cuanto me dan de un prestamo|Cat_248
daaños a electrodomesticos|Cat_265
cómo uso la cuenta para invertir?|Cat_169
hice stop debit de la tarjeta american express la pague y me la volvieron a descontar|Cat_350
ingresando a mi cuenta de home banking no tengo la opcion de simular un ccredito prendario para autos. se tiene que hacer x sucuersal?|Cat_251
tenés una urgencia en tu hogar?|Cat_265
quiero comunicarme telefónicamente con la opcion ccreditos y me figura fuera de servicio|Cat_29
¿te puedo encargar una chequera?|Cat_44
necesito anular un da como hago?|Cat_292
compra de auto|Cat_228
quiero obtener una supercuenta. se puede hacer a trabves d ela web|Cat_39
abrir caja ahorro dolar|Cat_39
necesito adquirir la tarjeta visa contactless|Cat_291
quiero entrar para reclamar|Cat_135
donde saldo una deuda que figura en notificaciones|Cat_192
como te llamas|Cat_14
que se cuenta?|Cat_12
si en prestamo personal. con un ingreso de pesos. cuanto seria la cuota de un prestamo de. con la amortization frances?|Cat_251
soy el titular de la tarjeta y quiero anular la adicional de mi hijo|Cat_338
queria saber si quedaban entradas para el lollapalooza ya que tenia muchas ganas de ir|Cat_354
la retencion del impuesto a las ganancias hechas en el recibo de sueldo se toma en cuenta para el calculo del prestamo hipotecario?|Cat_249
me tomo dos canjes de puntos.|Cat_331
promoción en compra de neumáticos|Cat_311
querer cerrar pagina online|Cat_0
me.olvide la contraseña de mi cuenta|Cat_1
como puedo ver mi numero de cuenta?|Cat_68
quiero tramite compartir cuenta pareja|Cat_38
quiero adelantar el pago de uno de los prestamos|Cat_246
necesitó saber con urgencia cuando estoy recibiendo la tarjeta de debito|Cat_293
quiero un posnet|Cat_71
obtener tarjeta debito|Cat_39
cual es el porcentaje del sueldo que debería destinar a pagar en un préstamo prendario?|Cat_249
mandar recuperar|Cat_1
hacerme cliente|Cat_39
quiero consultar sobre un credito personal...requisitos|Cat_248
debo tarjeta debitar|Cat_39
para cambiar la tarjeta de debito que la tengo deteriorada a donde me dirijio|Cat_316
quiero terminar de pagar tarjeta|Cat_192
necesito obtener mi contraseña de la tarjeta de credito|Cat_288
que necesito para sacar un superprestamo ?|Cat_248
queria consultarles si existen tasas especiales para plazos fijos de montos altos|Cat_184
necesito que me tomen mis huellas dactilares|Cat_88
quiero comenzar a invertir y no sé cómo empezar|Cat_178
se puede pre cancelar?|Cat_246
comision por extraccion en el exterior|Cat_96
perdí el voucher|Cat_333
necesito saber si mi ccredito esta al dia|Cat_239
quiero saber cuanto pago de seguro por mi auto|Cat_269
visualizar letra gobierno|Cat_188
aumentar limite de estraccion en cajeros|Cat_287
como puedo adelantar cuotas en mi tarjeta de credito|Cat_339
cuando llegan tarjetas nuevas|Cat_293
opcion para comprar un terreno|Cat_228
acabar bloquear clave telefono|Cat_1
necesito extraer dolares de mi cuenta. debo hacer algo particular? o simplemente dirigirme a una sucursal?|Cat_298
quiero saber porque me cobroon mucho cuando saque plata en un link|Cat_96
cómo pido un préstamo hipotecario?|Cat_223
numero llamar|Cat_147
como se si soy cliente duo?|Cat_139
sucursal principal|Cat_100
quisiera saber cuanto de interés cobran para pedir un préstamo personal|Cat_258
costos de precancelacion?|Cat_246
a que avisos puedo suscribirme?|Cat_125
me olvide mi pin|Cat_288
recibo llamadas de un numero que cuando contesto no dicen nada y me cortan pero al devolver la llamada me sale una operadora identificandose como santander rio|Cat_146
limite disponible para comprar|Cat_303
que descuentos hay hoy por sorpresa|Cat_311
en el caso de préstamo hipotecario  que sucede si los planos de la vivienda estan incompletos?|Cat_211
tarjeta recargable querer buscar|Cat_293
horario transferencia inmediata|Cat_83
necesito hablar con un ser humano|Cat_29
usuario salta error|Cat_1
hay algun costo por operar con acciones y bonos?|Cat_96
quisiera saber el costo de las tarjetas adicionales visa|Cat_96
no tengo reflejado en ningun lado los montos de dividendo que me pagaron y si veo en la caja de valores|Cat_153
acabo de canjear parte de mis puntos superclub  incluso a me fueron descontados pero no me confirmaron el canje|Cat_328
no me toma los datos de la tj de coordenadas|Cat_5
donde completo el formulario para un prestamo|Cat_223
cuando se pagan los servicios si los tengo adheridos al debito?|Cat_93
envio de efectivo|Cat_295
donde veo cuantas millas tengo?|Cat_275
quiero obtener la tarjeta de ccredito por convenio con universidades|Cat_359
quiero acreditar mis haberes|Cat_72
como hablo contigo|Cat_10
si puede haber co deudores hipotecarios?|Cat_256
cuanto me van a cobrar si habilito los avisos?|Cat_125
cambia el descuento en las entradas por ser cliente select?|Cat_311
quiero saver como puedo sacar el prestamo uva yo soy cliente del banco hace aaños|Cat_223
donde puedo dejar mi reclamo por el trato recibido en una sucursa|Cat_135
necesito generar un vep|Cat_132
me llegue una tarjeta de débito visa como ago para activarla|Cat_301
tratar pedir clave sentir volver intentarlo|Cat_1
tengo amex y visa platinun. puedo ir a vip?|Cat_284
telefono de credito hipotecario|Cat_225
cómo hago para sacar del debito automatico mis tarjetas de credito?|Cat_89
en el resumen de la tarjeta hay un ítem que no sé que es|Cat_115
quiero entrar consumo tarjeta credito|Cat_355
me ayudás a hacer una cuenta para pagar salarios|Cat_69
mi tarjeta de débito expira este mes que hago|Cat_316
consulta sobre prestamo|Cat_225
solicito la baja de todo seguro a mi nombre.|Cat_262
me están cobrando una comisión por uso de la cuenta que no deberían|Cat_97
cual es la direccion de mi banco?|Cat_100
necesito hacer un cambio de sucursal de mi cuenta|Cat_65
pagar resumen sin factura|Cat_342
como pago deuda de tarjeta en dolares|Cat_192
queria averiguar por el estado de un pedido de upgrade en mi cuenta|Cat_118
como sé si puedo aplicar para un préstamo hipotecario uva?|Cat_248
no puedo comprar con debito en el extranjero|Cat_289
que datos necesito para avisar que me voy d eviaje?|Cat_304
comisión girar descubierto|Cat_56
necesitaria que me llamen para asesoramiento|Cat_134
necesito sacar un préstamo de dinero como tengo que hacer?|Cat_223
olvidé mi clave alfabética para cajeros automaticos y necesitaba instrucciones para generar una nueva|Cat_288
saque un seguro de vivienda y el edificio tiene la puerta con llave electrónica  eso significa que no me cubre?|Cat_265
costo retirar dolar caja sucursal|Cat_96
como hago para recuperar mi clave para operar en los cajeros?|Cat_288
quisiera saber si tener cuenta en dolares tiene algun recargo?|Cat_96
si necesito hacer un reclamo|Cat_135
en la licitación de letes  que tipo de cotización del dólar se toma?|Cat_157
existen impuestos sobre el préstamo personal?|Cat_232
queria consultar por los tipos de inversión si dispongo $ para invertir|Cat_178
cuanto sería el monto a pagar si pido el préstamo?|Cat_251
los ingresos son anuales para el calculo de un prestamo hipotecario?|Cat_249
quisiera saber de que se trata el ahorro en plazo fijo.|Cat_183
necesito otra tarjeta porque se me gastó la banda|Cat_316
pedi la reimpresion de tarjeta debito  ya que la misma se encuentra deteriorada|Cat_316
los intereses de un prestamo hipotecario son deducibles de impuesto a las ganancias?|Cat_201
tengo un cheque emitido en usa que deseo cobrar y depositar en mi cuenta en dolares en el banco|Cat_30
si ya tengo mi clave de visa home como puedo sacar plata con mi tarjeta de ccredito?|Cat_298
como salir de la pagina|Cat_0
no quiero la tarjeta visa q me enviaron!! como la doy de baja sin necesidad de abandonar mi trabajo|Cat_310
cómo denuncio un siniestro?|Cat_265
en donde puedo hacer el cambio de lugares de las entradas que canjeé con los puntos superclub?|Cat_324
como utilizar autoservicio|Cat_110
como cambio los puntos q e acumulado|Cat_322
vencer factura cargala pagarla|Cat_129
quiero que me comentes cómo es los fondos comunes de inversión|Cat_173
te hago un reclamo porque acá el producto que pedí nunca llegue|Cat_326
mi tarjeta de debito figura inhabilitada|Cat_286
quiero saber si el resumen de la tarjeta american expres ya cerro|Cat_341
saber margen tarjeta|Cat_303
queria saber el estado de la gestion|Cat_118
como obtengo mi primera tarjeta credito|Cat_337
¿es muy difícil hacer inversiones?|Cat_178
queria chequear si me descontaron el pago de la tarjeta|Cat_279
no me toma clave de digitos para registrarme|Cat_1
crear home banking|Cat_3
cuál es la comisión por transferencia al exterior?|Cat_31
de cuento serían las cuotas por mes del préstamo.|Cat_251
necesitaria un prestamo de|Cat_223
no se como mirar el numero de mi cuenta|Cat_68
como renuevo la tarjeta de credito|Cat_316
perdi tarjeta encontrar consumo hacer|Cat_112
quiero cerrar el home banking|Cat_0
y para aumentar el límite en a tarjeta como hago?|Cat_302
consultar medio pago habilitar pagar tarjeta|Cat_342
cuanto se tarda de en habilitar la tarjeta después de haber pagado lo mínimo|Cat_279
no puedo ingresar a los fondos comunes de inversion|Cat_172
necesito el saldo al 31/12/18|Cat_67
puedo extender el vencimiento de la cuota del prestamo hipotecario?|Cat_240
querer retirar tarjeta credito|Cat_293
la tarjeja de devito se rompió como ago ?|Cat_316
puedo vender la propiedad antes de pagar todo el préstamo hipotecario?|Cat_260
¿cada cuanto pagan los bonos?|Cat_158
no me debitaron el pago de la tarjeta santander  credito|Cat_346
puedo pedir más plata de la preaprobada?|Cat_209
x donde puedo mirar el listado de sucursales ??|Cat_91
como puedo hacer una simulación|Cat_251
no encuentrola confirmacion de la orden de compra|Cat_167
me toman una queja?|Cat_133
se venció mi tarjeta de ccredito y no llegue el reemplazo. como hago para pedirla?|Cat_316
ultimo movimiento tarjeta de credito|Cat_355
no se debito un pago de servicio|Cat_129
hasta cuanta plata puedo pedir para comprar otra casa?|Cat_236
quiero saber si tengo disponible el descuento del en pasajes|Cat_311
no acepto que el monto de mi póliza de vida sea cargado a mi tajeta de credito visa|Cat_269
no puedo generar mi nueva clave para operar con home banking|Cat_1
monotributo adhesión debito por caja de ahorro|Cat_132
te puedo dar mi dni para saber si puedo sacar un credito|Cat_248
cuanto sale assist card?|Cat_282
quiero cuotificar un consumo en la tarjeta de credito|Cat_308
como reinvierto mis bonos|Cat_162
como hago para pagar mi cuota mensual de prestamo hipotecario?|Cat_239
cuando es la licitación de lebacs|Cat_156
como se ajustan los creditos uva para autos|Cat_219
viajare a europa en unos dias y queria saber si seguia vigente el seguro de salud gratuito que incluia|Cat_282
telefono para comunicarme con visa|Cat_147
me decís que te piden para abrir una nueva cuenta?|Cat_39
reclamo por el cobro de la renovacion|Cat_97
cómo sacan el valor de la propiedad para la financiación?|Cat_217
tenes algún nro de telefono directo de la sucursal?|Cat_91
quiero darle stop debit a mi celular|Cat_145
presentar recibo sueldo tarjeta|Cat_337
como es la cobertura por robo en cajeros?|Cat_261
no puedo registrarme y obtener la clave|Cat_1
queria saber resumir descontar|Cat_115
atraso pago saldarlo|Cat_191
cuanto tenía preacordado|Cat_223
como es el tema del seguro de vida del préstamo?|Cat_250
ya pague la tarjeta santander y me sigue saliendo deuda pendiente xq?|Cat_279
me podran enviar una nueva chequera?|Cat_44
cuando m fijo el numero de cuenta y cbu para que me realicen una transferencia en dolares. m doy cuenta que es el mismo numero en ambas cuentas. esta bien esto?|Cat_42
que tiene que ver la inflacion con la cuota del préstamo?|Cat_219
quien es un cliente selec|Cat_142
cómo obtengo woman|Cat_357
no confirme que queria adquirir su seguro de vida no acepte nada por otro medio.|Cat_264
aun no llegaron mis tarjetas  solo llegaron las adicionales|Cat_293
quiero recibir información sobre el programa de puesta en marcha y expansión para emprendedoras|Cat_357
no quiero seguir renovando el pf|Cat_180
quiero pagar la tarjeta visa|Cat_342
mi consulta es si el banco santander atiende normalmente mañana?|Cat_114
solicitar reimpresión de mi tarjeta de debito porque la que tengo está vencida|Cat_316
saber el saldo adeudado|Cat_99
me puedo dar de alta en club la nacion desde acá?|Cat_280
me pasas el telefono de contacto?|Cat_147
que antiguedad laboral necesito para gestionar un ccredito santander|Cat_248
quiero saber a q tarjeta corresponde mi cuenta santander|Cat_75
algun telefono para llamar?|Cat_147
necesito hacer una consulta y por telefono no me atiende operador|Cat_127
se puede poner la patente del auto en debito|Cat_132
cambiar la clave de letra|Cat_288
interés suma pago atrasado tarjeta|Cat_349
la preventa es solo para clientes select?|Cat_311
queria saver si mi vehiculo esta asegurado|Cat_271
no está en el sistema la licitación de lebacs|Cat_160
necesito saber la lista de concesionarios|Cat_223
en que momento se acredita el dinero del prestamo prendario?|Cat_226
necesito saber que requisitos debo cumplir para acceder al credito del procrear a traves del banco rio|Cat_248
querer averiguar hacer cerrar cuenta|Cat_41
quisiera saber si cuando se vence la tarjeta de débito la nueva tarjeta se envía al domicilio del titular o hay que retirarla|Cat_316
necesito dar de baja las cuentas|Cat_41
costo extración cajero automatico|Cat_96
estaba pensando sacar un prestamo|Cat_225
quiero tramitar la baja de la cuenta de mi hijo|Cat_41
puedo definir un monto límite para el pago de un servicio por debito automatico?|Cat_106
necesito desconocer un pago qe se hizo desde mi tarjeta|Cat_112
quiero pagar la luz. puedo hacerlo por pago mis cuentas?|Cat_132
adhesion servicio debitar necesitar ayudar|Cat_132
saber saldo tarjeta|Cat_303
pedir me desbloqueen en visa home|Cat_356
los prestamos hipotecarios sirven para amplaición de vivienda?|Cat_228
como se utiliza la opcion envio de efectivo|Cat_295
telefono superlinea|Cat_147
las transferencias son inmediatas?|Cat_77
quiero consultar por un prestamo personal.|Cat_225
cuanto estoy pagando el seguro?|Cat_269
quiera averiguar para hacer la suscripción de carboclor|Cat_151
necesito saber como denunciar que un cajero no me entrego el dinero y se me desconto de la cuenta|Cat_297
a los que trabajan en la municipalidad dan prestamos|Cat_248
en caso de aumento de la inflacion  esta previsto la extension de plazo del prestamo hipotecario?|Cat_230
como ingreso a mi cuenta|Cat_3
donde puedo encontrar dentro de home banking servicios afip|Cat_95
como saber estar reimpresión|Cat_293
quiero saber si se me acreditó un cheque|Cat_50
por donde solicitar el codigo swift|Cat_34
crear clave numerica visa|Cat_288
me rechazan una transferencia a mi cuenta sueldo|Cat_80
cargar sube|Cat_132
porcentaje interes descubierto|Cat_56
tengo un sueldo que no supero los pesos y una antiguedad aaños  puedo pedir un préstamo hipotecario?|Cat_249
me gustaria saber sobre prestamos personal .soy empleada publica con un ingreso de pesos.|Cat_225
que es el pago mínimo?|Cat_351
que debo llevar a la sucursal para abrir una caja de ahorros?|Cat_39
se puede incrementar un préstamo?|Cat_196
quiero hacer un stop debit de un servicio adherido a mi tarjeta|Cat_145
como veo mi saldo?|Cat_50
que tarjetas aplican para ser select?|Cat_142
consulta de resumen. pagos|Cat_138
como hago para cargar credito a un celular|Cat_132
pagar afip hombanking|Cat_132
como hago enví¬≠o de efectivo por cajero|Cat_295
necesito un prestamo hipotecario de quiero asesoramiento|Cat_225
cancelar pago automatico tarjeta credito|Cat_345
como me fijo si estan acitvo los debitos automaticos?|Cat_93
motivar poco disponible comprar visa|Cat_303
de que se trata santander duo|Cat_139
cual seria el promedio del aumento mensual del prestamo?|Cat_219
valor seguro de vivienda en la cuota del credito ?|Cat_250
que monto me prestan con un procrear?|Cat_236
no puedo entrar al homebankin|Cat_117
como activar la tarjeta para viajes|Cat_304
recarga redbus|Cat_132
regularizar descubierto exedido|Cat_56
porque sacar dinero cuenta|Cat_115
queria saber saldo pagar tarjeta|Cat_342
no se que tipo de cliente soy|Cat_75
hice una recarga sube y no obtuve el descuento|Cat_312
puedo acceder al préstamo personal aunque no cobre mi sueldo aca?|Cat_238
telefonos banco|Cat_147
no quiero ningun seguro  como lo doy de baja|Cat_262
pedí la baja y me llegue la renovación de la póliza  donde reclamo?|Cat_263
notificación exceso descubierto plata|Cat_56
todavia no llego la tarjeta a mi domicilio como hago el seguimiento|Cat_293
las tarjetas black tienen cobertura en europa|Cat_282
necesito adherir a debito de la tarjeta visa de credito dos servicios. pero no se como hacerlo|Cat_132
olvide mi clave banelco|Cat_288
debo reservar la propiedad para que el banco la tase|Cat_216
quiero saber como financiar mi resumen|Cat_308
blanqueo|Cat_288
quiero solicitar el prestamo santander rio|Cat_223
yo quiero saber si estoy apto para solicitarlo al ccredito|Cat_248
por que me acreditaron acciones de menos?|Cat_153
quiero ampliar el monto de mi descubierto|Cat_57
cuales son los valores de las cuotas del préstamo?|Cat_219
tipo ofrecer|Cat_39
queria saber si sigue la cuenta bloqueada|Cat_51
necesito crear pin para poder operar con la tarjeta de ccredito en el cajero automatico|Cat_288
saber limite tarjeta adicional|Cat_303
no puedo ingresar a home balkin|Cat_117
como puedo hacer para sacar mi resumen|Cat_138
ajuste valor uvas|Cat_219
si quiero comprar durante el prestamo otra casa mejor que cumple los requisitos  la toman igual?|Cat_255
cuanto poder sacar cajero|Cat_303
como se actualiza el valor de la cuota de un prestamo?|Cat_219
necesito usar el seguro que tengo en la tarjeta visa que me cubre en caso de desempleo|Cat_265
me cancelaron mi tarjeta de debito sin motivos|Cat_286
recibi mi nueva tarjeta de debito. como reseteo el pin?|Cat_288
estoy en españa y necesito hacer una transferencia puedo hacer el token en un cajero de la red visa plus|Cat_5
cerrar cuenta deber esperar cola|Cat_41
autonomo sacar tarjeta credito|Cat_337
cual es el plazo que se toman para la autorizacion del préstamo hipotecario?|Cat_243
cual es tu plato favorito|Cat_9
quiero un telefono de atencion al cliente|Cat_147
tengo que cobrar dividendos en dolares divisa y no sé cómo hacer|Cat_165
puedo alquilar la propiedad adquirida con un préstamo hipotecario?|Cat_228
super prestamo|Cat_225
me ofrecieron una bonificación de cuenta y todos los meses tengo que llamar para reclamar el mal cobro|Cat_90
como puedo hacer para depositar plata para mi tarjeta de credito de santander|Cat_342
infinity gold chequera|Cat_39
quiero saber si mi tarjeta de credito esta habilitada|Cat_301
que cotización de dolares se toma para los lebacs?|Cat_157
como hago envio de efectivo|Cat_295
como puedo denunciar un siniestro de ap vida?|Cat_265
tengo que ser cliente para que me den la tarjeta de credito|Cat_337
cuales son los pasos para solicitar un préstamo hipotecario procrear?|Cat_241
me llegue la tarjeta adicional. quisiera saber si debo llamar para activarla o ya se puede utilizar?|Cat_301
quiero que me manden el resumen por mail|Cat_138
quiero saber cuándo piensan devolverme el iva|Cat_58
que tal?|Cat_12
bici|Cat_261
cómo sé que una vivienda cumple con las condiciones de habitabilidad?|Cat_203
caja chica precio por mes|Cat_92
resumen de mi tarjeta|Cat_138
me gustaría sacar un préstamo|Cat_223
cancelación total de ccreditos personales|Cat_246
hoy en la mañana realice una transfereincia inmediata y todavia no se acredito en el otro banco|Cat_77
recibir nueva tarjeta visa|Cat_293
tienen caja de ahorro para menores de aaños?|Cat_39
necesito sacar dinero en el exterior  ayer intente y no pude|Cat_298
¿quien es el titular de la casa que compre con el préstamo hiptecario?|Cat_256
quisiera información sobre ccreditos personales|Cat_225
como hago para ingresar automaticamente en el celular|Cat_2
me debitaron la tarjeta?|Cat_279
que pasa con los fci? no hay informacion|Cat_172
como esta compuesto el mix vi|Cat_173
recibi tarjeta domicilio|Cat_293
cómo me suscribo a las promociones?|Cat_311
no realizo un debito de un debito automatico en caja de ahorros teniendo saldo suficiente|Cat_129
tuve un inconveniente con el deposito de un cheque|Cat_43
stop debit visa debitar dinero|Cat_38
hay algun simulador de prestamos|Cat_251
adicionar pagar afip|Cat_132
extraccion en el exterior con debito|Cat_298
para comprar euros los puedo comprar por ventanilla?|Cat_166
me descontaron un monto correspondiente a sircreb  y soy exento de este impuesto no me corresponde abonarlo.|Cat_122
me pide que acepte el contrato de adhesión. donde lo hago?|Cat_79
extra chash|Cat_296
necesito hacer una transferencia bancaria|Cat_83
como saber el limite de compras en cuotas de la tarjeta|Cat_303
saldo deuda figura notificaciones|Cat_192
millas american airlines|Cat_277
quiero que den de baja seguros que no había solicitado|Cat_264
quiero hacer una financiación sobre mi tarjeta de ccredito|Cat_308
el máximo del préstamo se define según lo que valga la propiedad?|Cat_236
como activo transferencias a terceros|Cat_79
me sabrás decir que fondos comunes se encuentran afectados?|Cat_172
cómo hago para pagar la póliza con la tarjeta?|Cat_269
como se genera el debin?|Cat_54
quiero evitar que transfieran de sucursal mis productos contratados|Cat_74
cuanto me sale mantenimiento mi cuenta|Cat_96
no quiero las tarjetas. no las pedí¬≠¬≠¬≠i|Cat_310
cotización para auto|Cat_251
